accession,assay,organism,status,hsHSR_28,mmHSR_882,mmLM_343,mmLM_363,mmLM_540,mmLM_543,mmHSR_1865,mmHSR_2365
ENCFF000GJC,RNA-seq,human,released,74.0,10.0,1628.0,92.0,3422.0,0.0,0.0,37.0
ENCFF000FJX,RNA-seq,human,released,49.0,4.0,1974.0,354.0,6603.0,3.0,0.0,22.0
ENCFF000EZZ,RNA-seq,human,released,13.0,2.0,1632.0,252.0,700.0,0.0,0.0,20.0
ENCFF000FMM,RNA-seq,human,released,134.0,13.0,1226.0,7.0,3334.0,0.0,0.0,40.0
ENCFF000HDE,RNA-seq,human,released,5.0,121.0,3796.0,1.0,1280.0,0.0,0.0,4.0
ENCFF000EMA,RNA-seq,human,released,2.0,776.0,6179.0,0.0,239.0,0.0,0.0,0.0
ENCFF000FLI,RNA-seq,human,released,132.0,16.0,3789.0,0.0,2732.0,0.0,0.0,252.0
ENCFF000FKR,RNA-seq,human,released,36.0,53.0,4531.0,0.0,3476.0,0.0,0.0,342.0
ENCFF000HXB,RNA-seq,human,released,48.0,13.0,1884.0,48.0,4145.0,0.0,1.0,72.0
ENCFF000HWI,RNA-seq,human,released,63.0,25.0,1850.0,12.0,4810.0,0.0,1.0,40.0
ENCFF000HDD,RNA-seq,human,released,2.0,647.0,6313.0,0.0,122.0,0.0,0.0,3.0
ENCFF000GHA,RNA-seq,human,released,71.0,21.0,2389.0,211.0,3554.0,0.0,0.0,20.0
ENCFF450WAV,RNA-seq,mouse,released,15907071.0,0.0,2675.0,0.0,2593.0,62.0,0.0,0.0
ENCFF000GBQ,RNA-seq,human,released,90.0,112.0,2723.0,1.0,4519.0,0.0,0.0,22.0
ENCFF000IOD,RNA-seq,human,released,17.0,85.0,4682.0,0.0,630.0,0.0,2.0,7.0
ENCFF000GHX,RNA-seq,human,released,54.0,58.0,3151.0,256.0,3999.0,0.0,0.0,50.0
ENCFF000GMA,RNA-seq,human,released,15.0,236.0,2566.0,0.0,931.0,0.0,1.0,85.0
ENCFF000GYE,RNA-seq,human,released,44.0,4.0,1704.0,42.0,2447.0,0.0,0.0,36.0
ENCFF630GRP,DNase-seq,mouse,released,2170921.0,1177.0,268.0,124.0,220.0,216.0,452.0,495.0
ENCFF000GGR,RNA-seq,human,released,105.0,18.0,1808.0,243.0,4290.0,0.0,0.0,17.0
ENCFF000GKZ,RNA-seq,human,released,47.0,70.0,4702.0,17.0,4245.0,0.0,0.0,18.0
ENCFF370BGP,DNase-seq,human,released,4.0,99.0,35.0,9.0,13.0,54.0,8.0,13.0
ENCFF000HCI,RNA-seq,human,released,0.0,87.0,5264.0,2.0,112.0,0.0,0.0,0.0
ENCFF000HSB,RNA-seq,human,released,0.0,6307.0,1605.0,0.0,1017.0,0.0,0.0,0.0
ENCFF420HAW,DNase-seq,human,released,6867.0,258.0,204.0,75.0,120.0,241.0,84.0,129.0
ENCFF000ELC,RNA-seq,human,released,0.0,77.0,5678.0,0.0,380.0,0.0,0.0,0.0
ENCFF000HSC,RNA-seq,human,released,1.0,5688.0,1708.0,0.0,990.0,0.0,0.0,0.0
ENCFF160PUL,DNase-seq,mouse,released,244851.0,833.0,204.0,88.0,172.0,413.0,664.0,852.0
ENCFF000GET,RNA-seq,human,released,54.0,36955.0,3751.0,3.0,2440.0,0.0,0.0,74.0
ENCFF000HAZ,RNA-seq,human,released,15.0,52.0,3000.0,2.0,1298.0,0.0,0.0,27.0
ENCFF000IGU,RNA-seq,human,released,44.0,9.0,3324.0,6.0,1716.0,0.0,13.0,11.0
ENCFF000IHC,RNA-seq,human,released,31.0,7.0,3004.0,0.0,2417.0,0.0,14.0,14.0
ENCFF000HTE,RNA-seq,human,released,1.0,31481.0,1321.0,0.0,1253.0,2.0,0.0,57.0
ENCFF000GLZ,RNA-seq,human,released,14.0,6382.0,3873.0,0.0,2137.0,0.0,0.0,95.0
ENCFF420YWL,DNase-seq,human,released,32549.0,43.0,117.0,20.0,86.0,40.0,43.0,48.0
ENCFF000IGA,RNA-seq,human,released,47.0,0.0,3423.0,0.0,3108.0,0.0,9.0,6.0
ENCFF000EKW,RNA-seq,human,released,0.0,35.0,4653.0,0.0,285.0,0.0,0.0,0.0
ENCFF000GZD,RNA-seq,human,released,48.0,3.0,2403.0,5.0,2347.0,0.0,0.0,29.0
ENCFF000HTD,RNA-seq,human,released,0.0,25968.0,1352.0,0.0,1174.0,5.0,0.0,57.0
ENCFF000GNB,RNA-seq,human,released,3.0,3.0,3754.0,0.0,1595.0,0.0,0.0,133.0
ENCFF270YBM,DNase-seq,human,released,11402.0,439.0,238.0,79.0,1.0,320.0,137.0,74.0
ENCFF120UKZ,DNase-seq,mouse,released,76518.0,1049.0,230.0,98.0,116.0,227.0,579.0,903.0
ENCFF000IMA,RNA-seq,human,released,2.0,1.0,4014.0,0.0,885.0,0.0,0.0,0.0
ENCFF000HBA,RNA-seq,human,released,16.0,47.0,2267.0,0.0,2542.0,0.0,0.0,30.0
ENCFF000GIC,RNA-seq,human,released,30.0,54.0,1993.0,2.0,1181.0,0.0,0.0,19.0
ENCFF000GKX,RNA-seq,human,released,18.0,5.0,2468.0,0.0,1244.0,0.0,0.0,3.0
ENCFF810WZJ,DNase-seq,human,released,689.0,216.0,230.0,90.0,139.0,167.0,112.0,171.0
ENCFF250OAD,RNA-seq,human,released,3.0,1070.0,1328.0,0.0,568.0,0.0,5.0,0.0
ENCFF000IHY,RNA-seq,human,released,23.0,8.0,2469.0,0.0,2906.0,0.0,9.0,16.0
ENCFF000HZQ,RNA-seq,human,released,12.0,1329.0,2279.0,0.0,1153.0,0.0,0.0,1.0
ENCFF000HCB,RNA-seq,human,released,0.0,32.0,3776.0,0.0,309.0,0.0,0.0,0.0
ENCFF000GBT,RNA-seq,human,released,32.0,41.0,2038.0,0.0,2407.0,0.0,0.0,15.0
ENCFF860TSH,DNase-seq,human,released,9375.0,179.0,121.0,132.0,55.0,145.0,84.0,73.0
ENCFF000GZX,RNA-seq,human,released,0.0,45.0,3492.0,1.0,569.0,1.0,0.0,2.0
ENCFF020CKO,DNase-seq,mouse,released,413695.0,713.0,146.0,76.0,158.0,443.0,314.0,466.0
ENCFF000GNC,RNA-seq,human,released,7.0,20.0,3228.0,0.0,1242.0,0.0,0.0,85.0
ENCFF700EUG,RNA-seq,human,released,5.0,27.0,2602.0,0.0,2226.0,0.0,0.0,3.0
ENCFF000EWW,RNA-seq,human,released,4.0,8.0,1829.0,1182.0,2098.0,0.0,0.0,1.0
ENCFF000HZR,RNA-seq,human,released,2.0,4507.0,1637.0,0.0,756.0,0.0,0.0,1.0
ENCFF000IKA,RNA-seq,human,released,1.0,17.0,1335.0,32.0,3019.0,0.0,0.0,1.0
ENCFF360TKI,DNase-seq,mouse,released,7598.0,408.0,201.0,73.0,105.0,1060.0,341.0,513.0
ENCFF000IJZ,RNA-seq,human,released,1.0,14.0,1912.0,36.0,2375.0,1.0,0.0,0.0
ENCFF000SWK,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000IAH,RNA-seq,human,released,0.0,1116.0,3287.0,0.0,624.0,0.0,0.0,0.0
ENCFF000HGG,RNA-seq,human,released,1.0,408.0,1178.0,0.0,86.0,0.0,0.0,243.0
ENCFF000EYK,RNA-seq,human,revoked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000SWB,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000GFU,RNA-seq,human,released,35.0,17.0,1644.0,239.0,2693.0,0.0,0.0,14.0
ENCFF000FCG,RNA-seq,human,released,7.0,150.0,2123.0,972.0,662.0,0.0,0.0,1.0
ENCFF000HQR,RNA-seq,human,released,19.0,2353.0,1754.0,0.0,1227.0,2.0,0.0,10.0
ENCFF830OCO,DNase-seq,human,released,21.0,136.0,35.0,16.0,26.0,392.0,17.0,20.0
ENCFF000HQQ,RNA-seq,human,released,5.0,4415.0,1600.0,0.0,1171.0,0.0,0.0,18.0
ENCFF000GPP,RNA-seq,human,released,0.0,20.0,2706.0,0.0,2486.0,0.0,0.0,2.0
ENCFF360YUX,DNase-seq,human,released,4306.0,136.0,109.0,33.0,68.0,140.0,68.0,70.0
ENCFF000FVT,RNA-seq,human,released,5.0,443.0,1676.0,0.0,718.0,0.0,0.0,21.0
ENCFF000HGU,RNA-seq,human,released,0.0,1904.0,1886.0,0.0,35.0,1.0,0.0,51.0
ENCFF000HLS,RNA-seq,human,released,0.0,341.0,510.0,3.0,86.0,0.0,0.0,182.0
ENCFF000GDZ,RNA-seq,human,released,0.0,843.0,2859.0,5.0,608.0,0.0,0.0,1.0
ENCFF000HJP,RNA-seq,human,released,1.0,1068.0,1721.0,0.0,204.0,0.0,0.0,2.0
ENCFF000HLP,RNA-seq,human,released,1.0,680.0,895.0,0.0,57.0,0.0,0.0,169.0
ENCFF000GIV,RNA-seq,human,released,19.0,17.0,1997.0,4.0,1014.0,1.0,0.0,25.0
ENCFF000EZH,RNA-seq,human,released,0.0,6.0,3326.0,1219.0,875.0,0.0,0.0,0.0
ENCFF000FOM,RNA-seq,human,released,4.0,611.0,906.0,0.0,5256.0,0.0,0.0,2.0
ENCFF000HFH,RNA-seq,human,released,4.0,720.0,1435.0,0.0,354.0,0.0,0.0,3.0
ENCFF840QXH,RNA-seq,human,released,0.0,1.0,4381.0,0.0,1403.0,0.0,0.0,5.0
ENCFF000FOK,RNA-seq,human,released,5.0,1232.0,823.0,0.0,6397.0,0.0,0.0,0.0
ENCFF000IFI,RNA-seq,human,released,12.0,9657.0,3517.0,2.0,382.0,4.0,0.0,8.0
ENCFF000FEU,RNA-seq,human,released,5.0,1425.0,3693.0,109.0,408.0,0.0,0.0,7.0
ENCFF000FVI,RNA-seq,human,released,5.0,702.0,1842.0,0.0,497.0,0.0,1.0,13.0
ENCFF000FQK,RNA-seq,human,released,3.0,640.0,2343.0,0.0,1909.0,0.0,0.0,0.0
ENCFF000EWJ,RNA-seq,human,released,14.0,0.0,793.0,920.0,2761.0,0.0,0.0,0.0
ENCFF000HFF,RNA-seq,human,released,11.0,282.0,1006.0,0.0,381.0,0.0,0.0,7.0
ENCFF000HGH,RNA-seq,human,revoked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000IQR,RNA-seq,human,released,34.0,14.0,3477.0,0.0,2051.0,0.0,0.0,24.0
ENCFF000ENZ,RNA-seq,human,released,16.0,4.0,1639.0,0.0,2852.0,0.0,0.0,2.0
ENCFF000ENY,RNA-seq,human,released,7.0,19.0,2058.0,1.0,1839.0,0.0,0.0,5.0
ENCFF000HOC,RNA-seq,human,released,2.0,1608.0,1197.0,0.0,273.0,0.0,0.0,9.0
ENCFF000IQQ,RNA-seq,human,released,26.0,32.0,3869.0,0.0,1540.0,0.0,0.0,12.0
ENCFF000GWF,RNA-seq,human,released,4.0,37.0,2316.0,0.0,485.0,0.0,0.0,32.0
ENCFF000EJW,RNA-seq,human,released,3.0,27.0,2278.0,0.0,1483.0,0.0,0.0,1.0
ENCFF000ELQ,RNA-seq,human,released,1.0,218.0,2803.0,0.0,323.0,0.0,0.0,4.0
ENCFF000FCH,RNA-seq,human,released,7.0,146.0,2276.0,642.0,662.0,0.0,1.0,0.0
ENCFF000EYQ,RNA-seq,human,revoked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF530NCF,DNase-seq,human,released,967.0,642.0,266.0,156.0,91.0,367.0,128.0,153.0
ENCFF000GPC,RNA-seq,human,released,1.0,51.0,2667.0,1.0,421.0,0.0,0.0,0.0
ENCFF000IDF,RNA-seq,human,released,3.0,464.0,2468.0,0.0,865.0,0.0,0.0,0.0
ENCFF000GUJ,RNA-seq,human,released,2.0,13.0,3306.0,0.0,682.0,5.0,0.0,0.0
ENCFF000SQB,DNase-seq,human,released,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0
ENCFF000GTX,RNA-seq,human,released,11.0,14.0,3312.0,0.0,749.0,0.0,0.0,0.0
ENCFF000SJK,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ENCFF000TAX,DNase-seq,human,released,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
ENCFF780REB,RNA-seq,human,released,3.0,332.0,1673.0,0.0,465.0,0.0,0.0,0.0
ENCFF030WXU,RNA-seq,human,released,19.0,3475.0,2400.0,89.0,928.0,0.0,0.0,32.0
ENCFF470ZTS,RNA-seq,human,released,0.0,21.0,8263.0,17.0,861.0,0.0,4.0,0.0
ENCFF000GWS,RNA-seq,human,released,8.0,31.0,1942.0,2.0,634.0,0.0,0.0,18.0
ENCFF770XQJ,DNase-seq,human,released,3475.0,120.0,101.0,35.0,64.0,85.0,30.0,41.0
ENCFF000FYG,RNA-seq,human,released,0.0,740.0,2058.0,0.0,219.0,0.0,0.0,0.0
ENCFF000FXU,RNA-seq,human,released,3.0,500.0,1875.0,2.0,325.0,0.0,0.0,1.0
ENCFF400WOO,DNase-seq,human,released,7914.0,78.0,72.0,26.0,93.0,92.0,27.0,32.0
ENCFF000TCC,DNase-seq,human,released,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ENCFF000SJU,DNase-seq,human,released,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENCFF350WGE,DNase-seq,human,released,558.0,139.0,161.0,42.0,126.0,103.0,55.0,37.0
ENCFF000SND,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
ENCFF420BJI,DNase-seq,human,released,18338.0,107.0,81.0,37.0,50.0,137.0,33.0,28.0
ENCFF000SLI,DNase-seq,human,released,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENCFF000SMR,DNase-seq,human,released,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ENCFF000EQS,RNA-seq,human,released,2.0,80.0,1485.0,1.0,766.0,0.0,0.0,0.0
ENCFF000IFF,RNA-seq,human,released,24.0,11001.0,3345.0,2.0,245.0,2.0,0.0,3.0
ENCFF000GSA,RNA-seq,human,released,2.0,11.0,2481.0,0.0,519.0,0.0,0.0,5.0
ENCFF000SKY,DNase-seq,human,released,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
ENCFF000SNB,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000IMC,RNA-seq,human,released,1.0,6.0,2217.0,0.0,624.0,0.0,0.0,0.0
ENCFF000FQW,RNA-seq,human,released,0.0,1166.0,2689.0,0.0,1558.0,0.0,0.0,0.0
ENCFF800GHL,ChIP-seq,human,released,58.0,145.0,182.0,82.0,65.0,288.0,81.0,115.0
ENCFF000EJJ,RNA-seq,human,released,8.0,26.0,2545.0,0.0,975.0,0.0,0.0,1.0
ENCFF000FET,RNA-seq,human,released,2.0,2182.0,4792.0,74.0,155.0,0.0,0.0,2.0
ENCFF000FJF,RNA-seq,human,released,2.0,4246.0,3213.0,282.0,123.0,0.0,0.0,10.0
ENCFF000EQK,RNA-seq,human,released,1.0,31.0,991.0,4.0,1956.0,1.0,0.0,1.0
ENCFF000SOJ,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ENCFF000HOD,RNA-seq,human,released,0.0,2711.0,1309.0,0.0,94.0,0.0,0.0,18.0
ENCFF000FTB,RNA-seq,human,released,1.0,30259.0,1513.0,0.0,1023.0,0.0,0.0,0.0
ENCFF000SXH,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000SIM,DNase-seq,human,released,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENCFF000SIH,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENCFF000GAF,RNA-seq,human,released,0.0,3407.0,1921.0,0.0,213.0,1.0,0.0,74.0
ENCFF000SXJ,DNase-seq,human,released,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ENCFF000TED,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ENCFF040TFC,RNA-seq,human,released,2.0,5671.0,5551.0,104.0,749.0,0.0,0.0,61.0
ENCFF000SWA,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENCFF000SXG,DNase-seq,human,released,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
ENCFF560RYY,RNA-seq,human,released,4.0,281.0,543.0,13.0,4481.0,1.0,3.0,7.0
ENCFF000SHL,DNase-seq,human,released,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENCFF000SWN,DNase-seq,human,released,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
ENCFF000SGL,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENCFF610QDF,DNase-seq,mouse,released,84969.0,310.0,56.0,23.0,14.0,0.0,10.0,46.0
ENCFF000SKE,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ENCFF870XOB,ChIP-seq,human,released,128.0,158.0,212.0,57.0,90.0,299.0,271.0,115.0
ENCFF000SOV,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000SKX,DNase-seq,human,released,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000SPP,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF620RAD,ChIP-seq,human,released,66.0,300.0,375.0,47.0,68.0,228.0,77.0,103.0
ENCFF000SID,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF130XKP,DNase-seq,human,released,9.0,106.0,25.0,10.0,15.0,121.0,12.0,10.0
ENCFF000SYA,DNase-seq,human,released,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ENCFF000SMP,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENCFF000SOG,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
ENCFF800YUB,DNase-seq,mouse,released,30254.0,110.0,22.0,16.0,13.0,21.0,12.0,13.0
ENCFF000SXI,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000SIC,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF820EQP,DNase-seq,human,released,23.0,848.0,292.0,134.0,21.0,478.0,68.0,89.0
ENCFF000SFW,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000IDC,RNA-seq,human,released,3.0,1173.0,2840.0,0.0,445.0,0.0,0.0,0.0
ENCFF000SWD,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ENCFF000SLE,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENCFF000TGB,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000FHG,RNA-seq,human,released,0.0,1040.0,3061.0,81.0,373.0,0.0,0.0,2.0
ENCFF000SJT,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENCFF000SKA,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENCFF000SWI,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000SFX,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000SKN,DNase-seq,human,released,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
ENCFF450FOE,DNase-seq,human,released,15.0,241.0,61.0,31.0,6.0,526.0,39.0,21.0
ENCFF550DSV,ChIP-seq,human,released,138.0,179.0,275.0,115.0,49.0,264.0,122.0,147.0
ENCFF000SHT,DNase-seq,human,released,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
ENCFF000TFS,DNase-seq,human,released,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
ENCFF000SGJ,DNase-seq,human,released,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0
ENCFF750VGY,DNase-seq,human,released,25.0,492.0,179.0,52.0,19.0,340.0,47.0,77.0
ENCFF000HGR,RNA-seq,human,revoked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000TCJ,DNase-seq,human,released,1.0,0.0,1.0,2.0,0.0,6.0,1.0,2.0
ENCFF000SIS,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000TAR,DNase-seq,human,released,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENCFF000TCK,DNase-seq,human,released,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0
ENCFF000HKJ,RNA-seq,human,released,0.0,1180.0,825.0,0.0,20.0,0.0,0.0,53.0
ENCFF000GZY,RNA-seq,human,released,0.0,62.0,2299.0,0.0,244.0,0.0,0.0,1.0
ENCFF000SWY,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000HKL,RNA-seq,human,released,0.0,1491.0,1200.0,0.0,12.0,0.0,0.0,19.0
ENCFF000SUB,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000SZZ,DNase-seq,human,released,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
ENCFF710PCJ,ChIP-seq,human,released,103.0,301.0,311.0,191.0,62.0,447.0,174.0,168.0
ENCFF000SUH,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000TEC,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF960DLP,RNA-seq,human,released,0.0,0.0,3623.0,0.0,1292.0,0.0,0.0,0.0
ENCFF000SIN,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000EZF,RNA-seq,human,released,0.0,11.0,1908.0,776.0,555.0,2.0,0.0,0.0
ENCFF000TFG,DNase-seq,human,released,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ENCFF190UGR,DNase-seq,mouse,released,41542.0,258.0,76.0,28.0,29.0,3.0,21.0,28.0
ENCFF540WMJ,DNase-seq,human,released,4382.0,514.0,123.0,46.0,61.0,150.0,51.0,50.0
ENCFF740RVI,DNase-seq,mouse,released,7926.0,275.0,82.0,28.0,38.0,44.0,22.0,33.0
ENCFF330WCH,DNase-seq,human,released,17.0,1585.0,227.0,93.0,24.0,2267.0,78.0,40.0
ENCFF620THJ,DNase-seq,human,released,6595.0,291.0,186.0,45.0,25.0,216.0,48.0,48.0
ENCFF000SUY,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENCFF000STY,DNase-seq,human,released,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
ENCFF000SPN,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ENCFF900BSQ,RNA-seq,human,released,7.0,2050.0,1300.0,3.0,613.0,3.0,0.0,131.0
ENCFF000TBZ,DNase-seq,human,released,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENCFF660OYN,DNase-seq,human,released,11251.0,205.0,119.0,52.0,51.0,338.0,57.0,51.0
ENCFF830BVJ,DNase-seq,human,released,23.0,288.0,115.0,33.0,23.0,426.0,35.0,69.0
ENCFF000SOX,DNase-seq,human,released,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF640ENZ,RNA-seq,human,released,51.0,68.0,585.0,0.0,1331.0,0.0,1.0,75.0
ENCFF000GAH,RNA-seq,human,released,0.0,4342.0,1522.0,0.0,140.0,0.0,0.0,38.0
ENCFF000TBL,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000SUX,DNase-seq,human,released,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ENCFF000SXA,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENCFF000SUQ,DNase-seq,human,released,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
ENCFF000TBP,DNase-seq,human,released,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF000HJF,RNA-seq,human,released,0.0,1977.0,1366.0,0.0,55.0,0.0,0.0,0.0
ENCFF000SWR,DNase-seq,human,released,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
ENCFF900YTA,ChIP-seq,human,released,90.0,95.0,166.0,126.0,50.0,126.0,139.0,130.0
ENCFF000TEO,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENCFF970YUZ,RNA-seq,human,released,14.0,167.0,3276.0,252.0,2195.0,4.0,4.0,73.0
ENCFF000TFD,DNase-seq,human,released,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENCFF000SZD,DNase-seq,human,released,1.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0
ENCFF000GRN,RNA-seq,human,released,1.0,22.0,1492.0,0.0,383.0,0.0,0.0,8.0
ENCFF480YLH,RNA-seq,human,released,0.0,8.0,2580.0,0.0,949.0,0.0,0.0,0.0
ENCFF350HWK,DNase-seq,mouse,released,3423.0,424.0,84.0,38.0,28.0,1.0,53.0,22.0
ENCFF000SUO,DNase-seq,human,released,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
